,Primary voltage rating (kV),Secondary voltage rating (kV),kVA rating (kVA),%R,%X,Year,Month,Day,Hour,Current Value,Prev Node,Prev Time,Anomaly
244,13.8,0.208,75,1.0,2.1,2017,1,11,5,4.36,4.246,5.0,0
245,13.8,0.208,75,1.0,2.1,2017,1,11,6,4.88,3.609,4.36,0
246,13.8,0.208,75,1.0,2.1,2017,1,11,7,7.32,4.831,4.88,0
247,13.8,0.208,75,1.0,2.1,2017,1,11,8,14.4,24.518,7.32,0
248,13.8,0.208,75,1.0,2.1,2017,1,11,9,18.84,23.393,14.4,0
249,13.8,0.208,75,1.0,2.1,2017,1,11,10,18.72,21.945,18.84,0
250,13.8,0.208,75,1.0,2.1,2017,1,11,11,18.52,24.21,18.72,0
251,13.8,0.208,75,1.0,2.1,2017,1,11,12,17.72,25.212,18.52,0
252,13.8,0.208,75,1.0,2.1,2017,1,11,13,19.68,21.149,17.72,0
253,13.8,0.208,75,1.0,2.1,2017,1,11,14,18.56,23.181,19.68,0
254,13.8,0.208,75,1.0,2.1,2017,1,11,15,18.08,23.502,18.56,0
255,13.8,0.208,75,1.0,2.1,2017,1,11,16,17.56,22.129,18.08,0
256,13.8,0.208,75,1.0,2.1,2017,1,11,17,18.6,23.736,17.56,0
257,13.8,0.208,75,1.0,2.1,2017,1,11,18,17.6,6.469,18.6,2
258,13.8,0.208,75,1.0,2.1,2017,1,11,19,4.72,5.488,17.6,0
259,13.8,0.208,75,1.0,2.1,2017,1,11,20,0.0,6.795,4.72,1
260,13.8,0.208,75,1.0,2.1,2017,1,11,21,0.0,6.086,0.0,1
261,13.8,0.208,75,1.0,2.1,2017,1,11,22,5.6,5.626,0.0,0
262,13.8,0.208,75,1.0,2.1,2017,1,11,23,4.92,5.084,5.6,0
263,13.8,0.208,75,1.0,2.1,2017,1,12,0,6.16,5.361,4.92,0
264,13.8,0.208,75,1.0,2.1,2017,1,12,1,5.6,6.122,6.16,0
265,13.8,0.208,75,1.0,2.1,2017,1,12,2,5.0,5.264,5.6,0
266,13.8,0.208,75,1.0,2.1,2017,1,12,3,4.76,5.459,5.0,0
